Dependency Taxonomy,Configuration Parameter A,Configuration Parameter B,Class,Function
Control Dependency,hbase.master.port,hbase.regionserver.info.port,org.apache.hadoop.hbase.master.HMaster,<org.apache.hadoop.hbase.master.HMaster: int getRegionServerInfoPort(org.apache.hadoop.hbase.ServerName)>
Control Dependency,hbase.rest-csrf.browser-useragents-regex,hbase.rest.csrf.enabled,org.apache.hadoop.hbase.rest.RESTServer,*
Control Dependency,hbase.snapshot.restore.failsafe.name,hbase.snapshot.restore.take.failsafe.snapshot,org.apache.hadoop.hbase.client.HBaseAdmin,"<org.apache.hadoop.hbase.client.HBaseAdmin: void restoreSnapshot(java.lang.String,boolean,boolean)>"
Control Dependency,hbase.regionserver.info.bindAddress,hbase.regionserver.info.port.auto,org.apache.hadoop.hbase.regionserver.HRegionServer,<org.apache.hadoop.hbase.regionserver.HRegionServer: int putUpWebUI()>
Control Dependency,hbase.storescanner.parallel.seek.enable,hbase.storescanner.parallel.seek.threads,org.apache.hadoop.hbase.regionserver.HRegionServer,<org.apache.hadoop.hbase.regionserver.HRegionServer: void startServices()>
Control Dependency,hbase.defaults.for.version,hbase.defaults.for.version.skip,org.apache.hadoop.hbase.HBaseConfiguration,<org.apache.hadoop.hbase.HBaseConfiguration: void checkDefaultsVersion(org.apache.hadoop.conf.Configuration)>
Control Dependency,hbase.security.authentication,hbase.superuser,org.apache.hadoop.hbase.zookeeper.ZKUtil,"<org.apache.hadoop.hbase.zookeeper.ZKUtil: java.util.ArrayList createACL(org.apache.hadoop.hbase.zookeeper.ZKWatcher,java.lang.String,boolean)>"
Control Dependency,hbase.cluster.distributed,hbase.zookeeper.property.dataDir,org.apache.hadoop.hbase.master.HMasterCommandLine,<org.apache.hadoop.hbase.master.HMasterCommandLine: int startMaster()>
Control Dependency,hbase.coprocessor.enabled,hbase.coprocessor.user.enabled,org.apache.hadoop.hbase.regionserver.RegionCoprocessorHost,*
Control Dependency,hbase.master.info.port.orig,hbase.master.infoserver.redirect,org.apache.hadoop.hbase.master.HMaster,*
Control Dependency,hbase.data.umask,hbase.data.umask.enable,org.apache.hadoop.hbase.regionserver.HRegionFileSystem,"<org.apache.hadoop.hbase.regionserver.HRegionFileSystem: boolean mkdirs(org.apache.hadoop.fs.FileSystem,org.apache.hadoop.conf.Configuration,org.apache.hadoop.fs.Path)>"
Control Dependency,hbase.auth.token.max.lifetime,hbase.security.authentication,org.apache.hadoop.hbase.ipc.RpcServer,<org.apache.hadoop.hbase.ipc.RpcServer: org.apache.hadoop.hbase.security.token.AuthenticationTokenSecretManager createSecretManager()>
Control Dependency,hbase.hstore.compaction.ratio.offpeak,hbase.offpeak.end.hour,org.apache.hadoop.hbase.regionserver.compactions.OffPeakHours,*
Control Dependency,hbase.zookeeper.property.clientPort,hbase.zookeeper.quorum,org.apache.hadoop.hbase.master.HMasterCommandLine,<org.apache.hadoop.hbase.master.HMasterCommandLine: int startMaster()>
Control Dependency,dfs.internal.nameservices,dfs.namenode.checkpoint.dir,org.apache.hadoop.hbase.util.FSHDFSUtils,"<org.apache.hadoop.hbase.util.FSHDFSUtils: boolean isSameHdfs(org.apache.hadoop.conf.Configuration,org.apache.hadoop.fs.FileSystem,org.apache.hadoop.fs.FileSystem)>"
Control Dependency,hbase.auth.key.update.interval,hbase.security.authentication,org.apache.hadoop.hbase.ipc.RpcServer,<org.apache.hadoop.hbase.ipc.RpcServer: org.apache.hadoop.hbase.security.token.AuthenticationTokenSecretManager createSecretManager()>
Control Dependency,hbase.cluster.distributed,hbase.zookeeper.quorum,org.apache.hadoop.hbase.master.HMasterCommandLine,<org.apache.hadoop.hbase.master.HMasterCommandLine: int startMaster()>
Control Dependency,fs.defaultFS,io.file.buffer.size,org.apache.hadoop.hbase.util.CommonFSUtils,<org.apache.hadoop.hbase.util.CommonFSUtils: int getDefaultBufferSize(org.apache.hadoop.fs.FileSystem)>
Control Dependency,hbase.hstore.compaction.ratio.offpeak,hbase.offpeak.start.hour,org.apache.hadoop.hbase.regionserver.compactions.OffPeakHours,*
Control Dependency,spark.streaming.backpressure.enabled,spark.streaming.backpressure.pid.derived,org.apache.spark.streaming.scheduler.rate.RateEstimator$,"<org.apache.spark.streaming.scheduler.rate.RateEstimator$: org.apache.spark.streaming.scheduler.rate.RateEstimator create(org.apache.spark.SparkConf,org.apache.spark.streaming.Duration)>"
Control Dependency,spark.dynamicAllocation.enabled,spark.dynamicAllocation.schedulerBacklogTimeout,org.apache.spark.SparkContext,*
Control Dependency,spark.executor.uri,spark.mesos.executor.home,org.apache.spark.scheduler.cluster.mesos.MesosCoarseGrainedSchedulerBackend,"<org.apache.spark.scheduler.cluster.mesos.MesosCoarseGrainedSchedulerBackend: org.apache.mesos.Protos$CommandInfo createCommand(org.apache.mesos.Protos$Offer,int,java.lang.String)>"
Control Dependency,spark.cleaner.referenceTracking,spark.cleaner.referenceTracking.blocking,org.apache.spark.storage.BlockManager,*
Control Dependency,spark.task.reaper.enabled,spark.task.reaper.threadDump,org.apache.spark.executor.Executor$TaskReaper,*
Control Dependency,spark.history.kerberos.enabled,spark.history.kerberos.keytab,org.apache.spark.deploy.history.HistoryServer$,<org.apache.spark.deploy.history.HistoryServer$: void initSecurity()>
Control Dependency,CONTAINER_ID,spark.local.dir,org.apache.spark.util.Utils$,<org.apache.spark.util.Utils$: java.lang.String getYarnLocalDirs(org.apache.spark.SparkConf)>
Control Dependency,spark.executor.extraLibraryPath,spark.executor.uri,org.apache.spark.scheduler.cluster.mesos.MesosClusterScheduler,<org.apache.spark.scheduler.cluster.mesos.MesosClusterScheduler: java.lang.String getDriverCommandValue(org.apache.spark.deploy.mesos.MesosDriverDescription)>
Control Dependency,SPARK_HOME,SPARK_JARS,org.apache.spark.deploy.yarn.Client,"<org.apache.spark.deploy.yarn.Client: scala.collection.mutable.HashMap prepareLocalResources(org.apache.hadoop.fs.Path,scala.collection.Seq)>"
Control Dependency,spark.task.reaper.enabled,spark.task.reaper.killTimeout,org.apache.spark.executor.Executor$TaskReaper,*
Control Dependency,spark.streaming.backpressure.enabled,spark.streaming.backpressure.pid.proportional,org.apache.spark.streaming.scheduler.rate.RateEstimator$,"<org.apache.spark.streaming.scheduler.rate.RateEstimator$: org.apache.spark.streaming.scheduler.rate.RateEstimator create(org.apache.spark.SparkConf,org.apache.spark.streaming.Duration)>"
Control Dependency,spark.memory.useLegacyMode,spark.storage.memoryFraction,org.apache.spark.memory.StaticMemoryManager,*
Control Dependency,spark.task.reaper.enabled,spark.task.reaper.pollingInterval,org.apache.spark.executor.Executor$TaskReaper,*
Control Dependency,spark.executor.logs.rolling.maxSize,spark.executor.logs.rolling.strategy,org.apache.spark.util.logging.FileAppender$,"<org.apache.spark.util.logging.FileAppender$: org.apache.spark.util.logging.FileAppender apply(java.io.InputStream,java.io.File,org.apache.spark.SparkConf)>"
Control Dependency,spark.eventLog.compress,spark.eventLog.enabled,org.apache.spark.SparkContext,*
Control Dependency,spark.memory.offHeap.enabled,spark.memory.offHeap.size,org.apache.spark.memory.MemoryPool,<org.apache.spark.memory.MemoryPool: void incrementPoolSize(long)>
Control Dependency,spark.streaming.backpressure.enabled,spark.streaming.backpressure.rateEstimator,org.apache.spark.streaming.scheduler.rate.RateEstimator$,"<org.apache.spark.streaming.scheduler.rate.RateEstimator$: org.apache.spark.streaming.scheduler.rate.RateEstimator create(org.apache.spark.SparkConf,org.apache.spark.streaming.Duration)>"
Control Dependency,spark.dynamicAllocation.enabled,spark.master,org.apache.spark.util.Utils$,<org.apache.spark.util.Utils$: boolean isLocalMaster(org.apache.spark.SparkConf)>
Control Dependency,spark.dynamicAllocation.enabled,spark.dynamicAllocation.minExecutors,org.apache.spark.SparkContext,*
Control Dependency,spark.memory.useLegacyMode,spark.shuffle.memoryFraction,org.apache.spark.memory.StaticMemoryManager,*
Control Dependency,spark.history.kerberos.enabled,spark.history.kerberos.principal,org.apache.spark.deploy.history.HistoryServer$,<org.apache.spark.deploy.history.HistoryServer$: void initSecurity()>
Control Dependency,spark.eventLog.enabled,spark.eventLog.logBlockUpdates.enabled,org.apache.spark.SparkContext,*
Control Dependency,spark.deploy.recoveryMode,spark.deploy.zookeeper.url,org.apache.spark.deploy.master.Master,<org.apache.spark.deploy.master.Master: void onStart()>
Control Dependency,spark.executor.logs.rolling.time.interval,spark.executor.logs.rolling.strategy,org.apache.spark.util.logging.FileAppender$,"<org.apache.spark.util.logging.FileAppender$: org.apache.spark.util.logging.FileAppender apply(java.io.InputStream,java.io.File,org.apache.spark.SparkConf)>"
Control Dependency,spark.memory.storageFraction,spark.memory.useLegacyMode,org.apache.spark.memory.UnifiedMemoryManager$,"<org.apache.spark.memory.UnifiedMemoryManager$: org.apache.spark.memory.UnifiedMemoryManager apply(org.apache.spark.SparkConf,int)>"
Control Dependency,spark.speculation,spark.speculation.interval,org.apache.spark.scheduler.TaskSchedulerImpl,<org.apache.spark.scheduler.TaskSchedulerImpl: void start()>
Control Dependency,spark.driver.cores,spark.submit.deployMode,org.apache.spark.SparkContext$,"<org.apache.spark.SparkContext$: int numDriverCores(java.lang.String,org.apache.spark.SparkConf)>"
Control Dependency,spark.streaming.backpressure.enabled,spark.streaming.backpressure.pid.minRate,org.apache.spark.streaming.scheduler.rate.RateEstimator$,"<org.apache.spark.streaming.scheduler.rate.RateEstimator$: org.apache.spark.streaming.scheduler.rate.RateEstimator create(org.apache.spark.SparkConf,org.apache.spark.streaming.Duration)>"
Control Dependency,spark.streaming.backpressure.enabled,spark.streaming.backpressure.pid.integral,org.apache.spark.streaming.scheduler.rate.RateEstimator$,"<org.apache.spark.streaming.scheduler.rate.RateEstimator$: org.apache.spark.streaming.scheduler.rate.RateEstimator create(org.apache.spark.SparkConf,org.apache.spark.streaming.Duration)>"
Control Dependency,spark.memory.useLegacyMode,spark.storage.unrollFraction,org.apache.spark.memory.StaticMemoryManager,*
Control Dependency,spark.dynamicAllocation.enabled,spark.dynamicAllocation.executorIdleTimeout,org.apache.spark.SparkContext,*
Control Dependency,spark.eventLog.dir,spark.eventLog.enabled,org.apache.spark.SparkContext,*
Control Dependency,MESOS_SANDBOX,spark.shuffle.service.enabled,org.apache.spark.util.Utils$,<org.apache.spark.util.Utils$: java.lang.String[] getConfiguredLocalDirs(org.apache.spark.SparkConf)>
Control Dependency,spark.dynamicAllocation.testing,spark.master,org.apache.spark.util.Utils$,<org.apache.spark.util.Utils$: boolean isDynamicAllocationEnabled(org.apache.spark.SparkConf)>
Control Dependency,spark.streaming.backpressure.pid.derived,spark.streaming.backpressure.rateEstimator,org.apache.spark.streaming.scheduler.rate.RateEstimator$,"<org.apache.spark.streaming.scheduler.rate.RateEstimator$: org.apache.spark.streaming.scheduler.rate.RateEstimator create(org.apache.spark.SparkConf,org.apache.spark.streaming.Duration)>"
Control Dependency,spark.dynamicAllocation.cachedExecutorIdleTimeout,spark.dynamicAllocation.enabled,org.apache.spark.SparkContext,*
Control Dependency,spark.cleaner.referenceTracking,spark.cleaner.referenceTracking.blocking.shuffle,org.apache.spark.storage.BlockManager,*
Control Dependency,CONTAINER_ID,SPARK_EXECUTOR_DIRS,org.apache.spark.util.Utils$,<org.apache.spark.util.Utils$: java.lang.String[] getConfiguredLocalDirs(org.apache.spark.SparkConf)>
Control Dependency,spark.streaming.backpressure.pid.minRate,spark.streaming.backpressure.rateEstimator,org.apache.spark.streaming.scheduler.rate.RateEstimator$,"<org.apache.spark.streaming.scheduler.rate.RateEstimator$: org.apache.spark.streaming.scheduler.rate.RateEstimator create(org.apache.spark.SparkConf,org.apache.spark.streaming.Duration)>"
Control Dependency,hadoop.security.group.mapping.ldap.ssl,hadoop.security.group.mapping.ldap.ssl.truststore,*,*
Control Dependency,hadoop.security.group.mapping.ldap.ssl,hadoop.security.group.mapping.ldap.ssl.keystore.password,*,*
Control Dependency,hadoop.security.group.mapping.ldap.ssl,hadoop.security.group.mapping.ldap.ssl.truststore.password.file,*,*
Control Dependency,alluxio.master.hostname,alluxio.user.network.netty.channel.pool.gc.threshold,alluxio.client.file.FileSystemContext,<alluxio.client.file.FileSystemContext: io.netty.channel.Channel acquireNettyChannel(alluxio.wire.WorkerNetAddress)>
Control Dependency,alluxio.integration.mesos.jdk.path,alluxio.integration.mesos.jdk.url,alluxio.mesos.AlluxioScheduler,<alluxio.mesos.AlluxioScheduler: java.lang.String createStartAlluxioCommand(java.lang.String)>
Control Dependency,alluxio.worker.file.persist.rate.limit,alluxio.worker.file.persist.rate.limit.enabled,alluxio.client.block.stream.PacketWriter$Factory,*
Control Dependency,alluxio.security.authentication.type,alluxio.security.login.impersonation.username,alluxio.security.authentication.AuthenticationProvider,*
Control Dependency,alluxio.user.short.circuit.enabled,alluxio.worker.data.server.domain.socket.as.uuid,alluxio.util.network.NettyUtils,<alluxio.util.network.NettyUtils: boolean isDomainSocketSupported(alluxio.wire.WorkerNetAddress)>
Control Dependency,lluxio.master.mount.table.root.option,fs.swift.simulation,alluxio.underfs.swift.SwiftUnderFileSystemFactory,<alluxio.underfs.swift.SwiftUnderFileSystemFactory: boolean checkSwiftCredentials(alluxio.underfs.UnderFileSystemConfiguration)>
Control Dependency,alluxio.user.hostname,alluxio.user.local.writer.packet.size.bytes,alluxio.client.block.stream.LocalFilePacketWriter,"<alluxio.client.block.stream.LocalFilePacketWriter: alluxio.client.block.stream.LocalFilePacketWriter create(alluxio.client.file.FileSystemContext,alluxio.wire.WorkerNetAddress,long,alluxio.client.file.options.OutStreamOptions)>"
