Dependency Taxonomy,Dependency,Checking Time,Violation handling,Impact of violations,Feedback,Configuration Parameter A,ComponentA,"Configuration Parameter B( ,C and more)",ComponentB,Related description
Control dependency,"If A is SomeValue, B will work",Init Time,Init Time Exception,Startup Failure,Partial,hadoop.security.authentication,core-default.xml,mapreduce.jobhistory.keytab,mapred-default.xml,"hadoop.security.authentication: Possible values are simple (no authentication), and kerberos."
Control dependency,"If A is SomeValue, B will work",Init Time,Init Time Exception,Startup Failure,Partial,hadoop.security.authentication,core-default.xml,yarn.web-proxy.keytab,yarn-default.xml,"hadoop.security.authentication: Possible values are simple (no authentication), and kerberos."
Control dependency,"If A is SomeValue, B will work",Init Time,Init Time Exception,Startup Failure,Partial,hadoop.security.authentication,core-default.xml,yarn.web-proxy.principal,yarn-default.xml,"hadoop.security.authentication: Possible values are simple (no authentication), and kerberos."
Control dependency,"If A is SomeValue, B will work",Init Time,Init Time Exception,Startup Failure,Partial,hadoop.security.authentication,core-default.xml,yarn.nodemanager.keytab,yarn-default.xml,"hadoop.security.authentication: Possible values are simple (no authentication), and kerberos."
Control dependency,"If A is SomeValue, B will work",Init Time,Init Time Exception,Startup Failure,Partial,hadoop.security.authentication,core-default.xml,yarn.resourcemanager.keytab,yarn-default.xml,"hadoop.security.authentication: Possible values are simple (no authentication), and kerberos."
Control dependency,"If A is SomeValue, B will work",Init Time,Init Time Exception,Startup Failure,Partial,hadoop.security.authentication,core-default.xml,dfs.datanode.keytab.file,hdfs-default.xml,"hadoop.security.authentication: Possible values are simple (no authentication), and kerberos."
Control dependency,"If A is set, B will not work",Runtime,Logging only,Usability,Complete,dfs.http.policy,hdfs-default.xml,hadoop.ssl.enabled,core-default.xml,"if dfs.http.policy is set, hadoop.ssl.enabled will not work."
Control dependency,"If A is set, B will not work",Runtime,Logging only,Usability,Complete,hadoop.http.staticuser.user,core-default.xml,dfs.web.ugi,hdfs-default.xml,"if hadoop.http.staticuser.user is set, dfs.web.ugi will not work."
Control dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,dfs.ha.automatic-failover.enable,hdfs-default.xml,"ha.zookeeper.auth
",core-default.xml,dfs.ha.automatic-failover.enable: Whether automatic failover is enabled.
Control dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,dfs.ha.automatic-failover.enable,hdfs-default.xml,ha.zookeeper.acl,core-default.xml,dfs.ha.automatic-failover.enable: Whether automatic failover is enabled.
