"Taxonomy","Relationship","Config A","Section A","Component A","Config B","Section B","Component B","Related Description","Is Corner Cases","Checking Time","Handling","Impact of violations","Feedback"
"Control Dependency","if A is null, B will work","backup_swift_url","default","cinder","swift_catalog_info","default","cinder","only used if backup_swift_url is unset","found","no check ","N/A","Usability","None"
"Control Dependency","if A is null, B will work","backup_swift_auth_url","default","cinder","keystone_catalog_info","default","cinder","only used if backup_swift_auth_url is unset","found","no check ","N/A","Usability","None"
"Control Dependency","if osapi_volume_extension is 'cinder.api.contrib.select_extensions', B will work","osapi_volume_extension","default","cinder","osapi_volume_ext_list","default","cinder","specify list of extensions to load when using osapi_volume_extension option with cinder.api.contrib.select_extensions","found","no check ","N/A","Usability","None"
"Control Dependency","if A is null, B will work","glance_api_servers","default","cinder","glance_catalog_info","default","cinder","only used if glance_api_servers are not provided","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","use_chap_auth","backend_defaults","cinder","chap","backend_defaults","cinder","option to enable/disable chap authentication for targets.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is not null, B will work","san_ip","backend_defaults","cinder","storwize_san_secondary_ip","backend_defaults","cinder","specifies secondary management ip or hostname to be used if san_ip is invalid or becomes inaccessible.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'api', B will work","trace_flags","backend_defaults","cinder","netapp_api_trace_pattern","backend_defaults","cinder","this option is honored only if enabling ``api`` tracing with the ``trace_flags`` option.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is false, B will work","pure_automatic_max_oversubscription_ratio","backend_defaults","cinder","max_over_subscription_ratio","backend_defaults","cinder","if used this calculated value will override the max_over_subscription_ratio config option.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","driver_use_ssl","backend_defaults","cinder","synology_ssl_verify","backend_defaults","cinder","do certificate validation or not if $driver_use_ssl is true","found","no check ","N/A","Usability","None"
"Control Dependency","if A is null, B will work","vmware_ca_file","backend_defaults","cinder","vmware_insecure","backend_defaults","cinder","this option is ignored if ""vmware_ca_file"" is set.","found","no check ","N/A","Usability","None"
"Control Dependency","A will be used only if B is set,","storpool_replication","default","cinder","storpool_template","default","cinder","storpool_replication = 3(Integer) The default StorPool chain replication value. Used when creating a volume with no specified type if storpool_template is not set","found","no check ","N/A","Usability","None"
"Control Dependency","if B is not set, A will be used","instorage_san_secondary_ip","default","cinder","san_ip","backend_defaults","cinder","(String) Specifies secondary management IP or hostname to be used if san_ip is invalid or becomes inaccessible.","found","no check ","N/A","Usability","None"
"Control Dependency","username and password should be used together","hpe3par_username","backend_defaults","cinder","hpe3par_password","backend_defaults","cinder","correlation","found","no check ","N/A","Usability","None"
"Control Dependency","if ABCD is null, E will work","cinder_store_auth_address, cinder_store_user_name, cinder_store_project_name, and cinder_store_password","glance_store","glance","cinder_endpoint_template","glance_store","glance","this value is ignored if ``cinder_store_auth_address``, ``cinder_store_user_name``, ``cinder_store_project_name``, and ``cinder_store_password`` are specified.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","delayed_delete","default","glance","scrub_time","default","glance","turn on/off delayed delete","found","no check ","N/A","Usability","None"
"Control Dependency","if A is null, B will work","https_ca_certificates_file","glance.store.http.store","glance","https_insecure","glance.store.http.store","glance","if this option is set, the ``https_insecure`` option will be ignored","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","swift_store_multi_tenant","glance.store.swift.store","glance","swift_store_use_trusts","glance.store.swift.store","glance","this option is considered only when ``swift_store_multi_tenant`` is set to ``true``","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","swift_buffer_on_upload","glance.store.swift.store","glance","swift_upload_buffer_dir","glance.store.swift.store","glance","show direct image location when returning an image","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","show_image_direct_url","default","glance","location_strategy","default","glance","show direct image location when returning an image. this configuration option indicates whether to show the direct image location when returning image details to the user.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is null, B will work","cinder_endpoint_template","glance_store","glance","cinder_catalog_info","glance_store","glance","if this configuration option is set, ``cinder_catalog_info`` will be ignored.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","cinder_api_insecure","cinder","glance","cinder_ca_certificates_file","cinder","glance","if this option is set to true, https endpoint connection is verified using the ca certificates file specified by ``cinder_ca_certificates_file`` option.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","daemon","default","glance","wakeup_time","default","glance","the wake up interval can be specified using the configuration option ``wakeup_time``.","found","no check ","N/A","Usability","None"
"Control Dependency","if A is true, B will work","swift_store_auth_insecure","glance.store.swift.store","glance","swift_store_cacert","glance.store.swift.store","glance","set verification of the server certificate","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'local', B will work","deploy_logs_storage_backend","agent","ironic","deploy_logs_local_path","agent","ironic","the path to the directory where the logs should be stored, used when the deploy_logs_storage_backend is configured to ""local"".","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'swift', B will work","deploy_logs_storage_backend","agent","ironic","deploy_logs_swift_container","agent","ironic","the name of the swift container to store the logs, used when the deploy_logs_storage_backend is configured to ""swift"".","found","no check ","N/A","Usability","None"
"Control Dependency","if A is 'swift', B will work","deploy_logs_storage_backend","agent","ironic","deploy_logs_swift_days_to_expire","agent","ironic","used when the deploy_logs_storage_backend is configured to ""swift"".","found","no check ","N/A","Usability","None"
