Dependency Taxonomy,Dependency,Checking Time,Violation handling,Impact of violations,Feedback,Configuration Parameter A,ComponentA,"Configuration Parameter B( ,C and more)",ComponentB,Related description
Control Dependency,"If A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.refresh.url,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,mapreduce.shuffle.transferTo.allowed,mapred-default.xml,mapreduce.shuffle.transfer.buffer.size,mapred-default.xml,mapreduce.shuffle.transfer.buffer.size: This property is used only if mapreduce.shuffle.transferTo.allowed is set to false.
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,rpc.metrics.percentiles.intervals,core-default.xml,rpc.metrics.quantile.enable,core-default.xml,rpc.metrics.quantile.enable: Setting this property to true and rpc.metrics.percentiles.intervals to a comma-separated list of the granularity in seconds
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.msi.port,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.client.id,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.credential,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.access.token.provider,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.devicecode.clientapp.id,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,fs.adl.oauth2.access.token.provider.type,core-default.xml,fs.adl.oauth2.refresh.token,core-default.xml,"fs.adl.oauth2.access.token.provider.type: Defines Azure Active Directory OAuth2 access token provider type. The ClientCredential type requires property fs.adl.oauth2.client.id, fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url. The RefreshToken type requires property fs.adl.oauth2.client.id and fs.adl.oauth2.refresh.token. The MSI type reads optional property fs.adl.oauth2.msi.port, if specified. The DeviceCode type requires property fs.adl.oauth2.devicecode.clientapp.id. The Custom type requires property fs.adl.oauth2.access.token.provider."
Control Dependency,"if A is SomeValue, B will work",no check,N/A,Usability,None,spark.dynamicAllocation.enabled,spark.xml,spark.dynamicAllocation.minExecutors,spark.xml,"spark.dynamicAllocation.enabled: Whether to use dynamic resource allocation, which scales the number of executors registered with this application up and down based on the workload."
